case,file,problematic,oracle_records,oracle_resolved,all_oracle_scored,all_tp,all_fp,all_fn,statement_oracle_scored,statement_tp,statement_fp,statement_fn,codediff_ms
Chart-22,source_org_jfree_data_KeyedObjects2D.json,false,1488,1032,318,305,2,13,62,59,0,3,53.545
Chart-23,source_org_jfree_chart_renderer_category_MinMaxCategoryRenderer.json,false,1864,1378,38,38,0,0,2,2,0,0,6.675
Chart-24,source_org_jfree_chart_renderer_GrayPaintScale.json,false,323,228,86,86,0,0,9,9,0,0,0.946
Chart-25,source_org_jfree_chart_renderer_category_StatisticalBarRenderer.json,false,2034,1618,1243,1229,20,14,192,190,2,2,76.980
Chart-26,source_org_jfree_chart_axis_Axis.json,false,4495,3086,817,817,0,0,80,80,0,0,50.727
Chart-3,source_org_jfree_data_time_TimeSeries.json,false,4222,3049,187,187,0,0,28,28,0,0,20.475
Chart-4,source_org_jfree_chart_plot_XYPlot.json,false,20715,14581,669,669,0,0,77,77,0,0,99.021
Chart-5,source_org_jfree_data_xy_XYSeries.json,false,2136,1474,185,184,7,1,33,33,0,0,10.481
Chart-6,source_org_jfree_chart_util_ShapeList.json,false,357,240,44,43,1,1,12,11,0,1,2.031
Chart-7,source_org_jfree_data_time_TimePeriodValues.json,false,1859,1387,419,419,0,0,61,61,0,0,5.467
Chart-8,source_org_jfree_data_time_Week.json,false,1856,1374,58,58,0,0,6,6,0,0,6.507
Chart-9,source_org_jfree_data_time_TimeSeries.json,false,3281,2339,224,224,0,0,38,38,0,0,27.786
Cli-1,src_java_org_apache_commons_cli_CommandLine.json,true,678,388,185,156,19,29,39,33,3,6,8.783
Cli-10,src_java_org_apache_commons_cli_Parser.json,false,1226,840,47,47,0,0,7,7,0,0,4.177
Cli-11,src_java_org_apache_commons_cli_HelpFormatter.json,false,3004,2059,161,161,0,0,21,21,0,0,19.098
Cli-12,src_java_org_apache_commons_cli_GnuParser.json,false,328,205,199,197,1,2,41,40,1,1,98.803
Cli-13,src_java_org_apache_commons_cli2_WriteableCommandLine.json,true,191,91,16,16,0,0,2,2,0,0,0.564
Cli-13,src_java_org_apache_commons_cli2_commandline_WriteableCommandLineImpl.json,true,880,718,12,12,2,0,2,2,0,0,3.551
Cli-13,src_java_org_apache_commons_cli2_option_ArgumentImpl.json,true,1266,1050,196,196,0,0,38,38,0,0,5.068
Cli-14,src_java_org_apache_commons_cli2_option_GroupImpl.json,true,1863,1537,159,149,5,10,31,25,1,6,15.460
Cli-15,src_java_org_apache_commons_cli2_commandline_WriteableCommandLineImpl.json,false,1066,872,88,47,32,41,14,8,6,6,14.065
Cli-16,src_java_org_apache_commons_cli2_Option.json,false,348,139,23,23,0,0,2,2,0,0,0.787
Cli-16,src_java_org_apache_commons_cli2_commandline_WriteableCommandLineImpl.json,false,1134,930,59,59,0,0,10,10,0,0,4.567
Cli-16,src_java_org_apache_commons_cli2_option_GroupImpl.json,false,1867,1541,214,214,0,0,33,33,0,0,32.222
Cli-16,src_java_org_apache_commons_cli2_option_OptionImpl.json,false,571,498,11,11,0,0,2,2,0,0,2.527
Cli-17,src_java_org_apache_commons_cli_PosixParser.json,false,858,510,127,127,0,0,23,23,0,0,10.322
Cli-18,src_java_org_apache_commons_cli_PosixParser.json,false,827,489,250,245,3,5,52,51,1,1,10.345
Cli-19,src_java_org_apache_commons_cli_PosixParser.json,false,834,493,62,54,0,8,14,10,0,4,4.488
Cli-2,src_java_org_apache_commons_cli_PosixParser.json,false,864,519,136,135,1,1,24,24,0,0,8.438
Cli-20,src_java_org_apache_commons_cli_PosixParser.json,true,819,483,206,170,8,36,38,35,2,3,30.677
Cli-21,src_java_org_apache_commons_cli2_WriteableCommandLine.json,false,259,117,20,20,0,0,2,2,0,0,0.670
Cli-21,src_java_org_apache_commons_cli2_commandline_WriteableCommandLineImpl.json,false,1190,965,85,85,0,0,18,18,0,0,14.708
Cli-21,src_java_org_apache_commons_cli2_option_GroupImpl.json,false,1940,1585,34,34,0,0,7,7,0,0,7.323
Cli-22,src_java_org_apache_commons_cli_PosixParser.json,true,753,445,383,376,3,7,76,75,0,1,62.555
Cli-23,src_java_org_apache_commons_cli_HelpFormatter.json,true,2990,2045,199,197,0,2,26,25,0,1,48.528
Cli-24,src_java_org_apache_commons_cli_HelpFormatter.json,false,3024,2070,224,224,0,0,29,29,0,0,19.142
Cli-25,src_java_org_apache_commons_cli_HelpFormatter.json,false,3029,2075,229,229,0,0,30,30,0,0,17.812
Cli-26,src_java_org_apache_commons_cli_OptionBuilder.json,false,776,492,102,98,0,4,15,14,0,1,7.994
Cli-27,src_java_org_apache_commons_cli_OptionGroup.json,false,406,280,73,73,0,0,14,14,0,0,1.152
Cli-28,src_java_org_apache_commons_cli_Parser.json,false,1195,807,146,146,0,0,28,28,0,0,11.940
Cli-29,src_java_org_apache_commons_cli_Util.json,false,158,98,48,48,0,0,10,10,0,0,4.582
Cli-3,src_java_org_apache_commons_cli_TypeHandler.json,false,561,388,51,46,0,5,14,13,0,1,4.394
Cli-30,src_main_java_org_apache_commons_cli_DefaultParser.json,false,2155,1567,156,139,10,17,25,22,1,3,22.051
Cli-30,src_main_java_org_apache_commons_cli_Parser.json,false,1227,830,154,137,4,17,30,27,0,3,14.390
Cli-31,src_main_java_org_apache_commons_cli_HelpFormatter.json,false,3155,2161,177,173,3,4,22,22,0,0,28.914
Cli-31,src_main_java_org_apache_commons_cli_Option.json,false,1612,1078,70,70,0,0,3,3,0,0,5.142
Cli-31,src_main_java_org_apache_commons_cli_OptionBuilder.json,false,788,504,84,84,0,0,12,12,0,0,3.504
Cli-32,src_main_java_org_apache_commons_cli_HelpFormatter.json,false,3126,2131,235,235,0,0,24,24,0,0,15.707
Cli-33,src_main_java_org_apache_commons_cli_HelpFormatter.json,false,3152,2138,114,114,1,0,11,11,0,0,9.965
Cli-34,src_main_java_org_apache_commons_cli_Option.json,false,1612,1078,70,70,0,0,3,3,0,0,5.014
Cli-34,src_main_java_org_apache_commons_cli_OptionBuilder.json,false,789,504,84,84,0,0,12,12,0,0,3.511
Cli-35,src_main_java_org_apache_commons_cli_Options.json,false,976,559,81,81,0,0,13,13,0,0,2.900
Cli-36,src_main_java_org_apache_commons_cli_OptionGroup.json,false,434,302,37,35,2,2,4,3,1,1,1.216
Cli-36,src_main_java_org_apache_commons_cli_Options.json,false,992,570,46,46,0,0,3,3,0,0,2.387
Cli-37,src_main_java_org_apache_commons_cli_DefaultParser.json,true,2177,1581,68,53,0,15,6,5,0,1,10.073
Cli-38,src_main_java_org_apache_commons_cli_DefaultParser.json,true,2214,1612,99,93,5,6,11,10,1,1,14.825
Cli-39,src_main_java_org_apache_commons_cli_TypeHandler.json,false,626,388,126,126,0,0,35,35,0,0,1.930
Cli-4,src_java_org_apache_commons_cli_Parser.json,false,1142,768,71,71,0,0,12,12,0,0,9.579
Cli-40,src_main_java_org_apache_commons_cli_TypeHandler.json,false,690,438,147,147,0,0,34,34,0,0,51.250
Cli-5,src_java_org_apache_commons_cli_Util.json,false,158,99,48,48,0,0,12,12,0,0,0.702
Cli-7,src_java_org_apache_commons_cli2_builder_PatternBuilder.json,false,627,496,23,21,2,2,4,3,1,1,2.130
Cli-8,src_java_org_apache_commons_cli_HelpFormatter.json,false,2948,2017,190,190,0,0,24,24,0,0,34.972
Cli-9,src_java_org_apache_commons_cli_Parser.json,false,1210,827,93,90,3,3,14,14,0,0,17.522
Closure-1,src_com_google_javascript_jscomp_RemoveUnusedVars.json,false,3601,2846,145,145,0,0,26,26,0,0,17.871
Closure-10,src_com_google_javascript_jscomp_NodeUtil.json,false,10942,8644,179,179,0,0,11,11,0,0,51.609
Closure-100,src_com_google_javascript_jscomp_CheckGlobalThis.json,false,518,386,183,183,0,0,41,41,0,0,8.459
Closure-101,src_com_google_javascript_jscomp_CommandLineRunner.json,true,1716,1411,84,84,0,0,19,19,0,0,6.890
Closure-102,src_com_google_javascript_jscomp_Normalize.json,false,1954,1588,81,81,0,0,14,14,0,0,6.486
Closure-103,src_com_google_javascript_jscomp_ControlFlowAnalysis.json,false,3703,3057,105,103,2,2,23,22,1,1,21.233
Closure-103,src_com_google_javascript_jscomp_DisambiguateProperties.json,false,4137,3263,136,136,0,0,26,26,0,0,15.011
Closure-104,src_com_google_javascript_rhino_jstype_UnionType.json,false,1614,1149,116,116,0,0,30,30,0,0,5.296
Closure-105,src_com_google_javascript_jscomp_FoldConstants.json,true,8543,7155,420,412,6,8,78,77,1,1,155.203
Closure-106,src_com_google_javascript_jscomp_GlobalNamespace.json,false,3763,2971,89,89,0,0,12,12,0,0,13.378
Closure-106,src_com_google_javascript_rhino_JSDocInfoBuilder.json,false,2381,1574,80,80,0,0,7,7,0,0,7.666
Closure-107,src_com_google_javascript_jscomp_CommandLineRunner.json,false,3499,2855,180,180,0,0,43,43,0,0,18.710
Closure-108,src_com_google_javascript_jscomp_ScopedAliases.json,false,2482,2034,666,657,4,9,119,119,0,0,187.986
Closure-109,src_com_google_javascript_jscomp_parsing_JsDocInfoParser.json,true,8947,7483,99,99,0,0,6,6,0,0,44.457
Closure-11,src_com_google_javascript_jscomp_TypeCheck.json,false,7264,5962,145,145,0,0,17,17,0,0,38.461
Closure-110,src_com_google_javascript_jscomp_ScopedAliases.json,false,2351,1927,277,268,5,9,38,38,0,0,210.156
Closure-110,src_com_google_javascript_rhino_Node.json,false,8640,7429,167,167,0,0,16,16,0,0,48.765
Closure-111,src_com_google_javascript_jscomp_type_ClosureReverseAbstractInterpreter.json,false,1053,833,38,37,1,1,8,8,0,0,4.776
Closure-112,src_com_google_javascript_jscomp_TypeInference.json,false,6675,5499,120,119,1,1,18,18,0,0,43.660
Closure-113,src_com_google_javascript_jscomp_ProcessClosurePrimitives.json,false,5133,4128,198,197,1,1,29,29,0,0,30.518
Closure-114,src_com_google_javascript_jscomp_NameAnalyzer.json,false,6913,5471,170,170,0,0,22,22,0,0,39.301
Closure-115,src_com_google_javascript_jscomp_FunctionInjector.json,false,3054,2482,216,216,0,0,39,39,0,0,31.871
Closure-116,src_com_google_javascript_jscomp_FunctionInjector.json,false,3054,2482,216,216,0,0,39,39,0,0,31.858
Closure-117,src_com_google_javascript_jscomp_TypeValidator.json,false,3408,2619,245,245,0,0,41,41,0,0,14.923
Closure-118,src_com_google_javascript_jscomp_DisambiguateProperties.json,false,4794,3797,148,148,0,0,17,17,0,0,24.639
Closure-119,src_com_google_javascript_jscomp_GlobalNamespace.json,true,4780,3825,482,482,4,0,117,117,0,0,71.431
Closure-12,src_com_google_javascript_jscomp_MaybeReachingVariableUse.json,false,989,770,27,27,0,0,6,6,0,0,4.327
Closure-120,src_com_google_javascript_jscomp_ReferenceCollectingCallback.json,false,2359,1879,99,99,0,0,18,18,0,0,11.812
Closure-121,src_com_google_javascript_jscomp_InlineVariables.json,false,2828,2292,361,358,2,3,56,56,0,0,13.732
Closure-122,src_com_google_javascript_jscomp_parsing_IRFactory.json,true,6061,4995,46,42,3,4,8,8,0,0,37.980
Closure-123,src_com_google_javascript_jscomp_CodeGenerator.json,true,5317,4496,2378,2378,0,0,504,504,0,0,29.750
Closure-124,src_com_google_javascript_jscomp_ExploitAssigns.json,false,726,574,64,64,0,0,15,15,0,0,2.795
Closure-125,src_com_google_javascript_jscomp_TypeCheck.json,false,8204,6757,153,152,1,1,20,20,0,0,56.391
Closure-126,src_com_google_javascript_jscomp_MinimizeExitPoints.json,false,1004,773,326,326,0,0,62,62,0,0,6.367
Closure-127,src_com_google_javascript_jscomp_UnreachableCodeElimination.json,false,803,653,155,154,1,1,29,29,0,0,41.174
Closure-128,src_com_google_javascript_jscomp_CodeGenerator.json,false,5235,4426,91,91,0,0,13,13,0,0,24.871
Closure-129,src_com_google_javascript_jscomp_PrepareAst.json,false,699,562,82,82,0,0,14,14,0,0,2.663
Closure-13,src_com_google_javascript_jscomp_PeepholeOptimizationsPass.json,false,625,527,94,94,0,0,21,21,0,0,8.390
Closure-130,src_com_google_javascript_jscomp_CollapseProperties.json,false,3609,2771,176,175,3,1,25,25,0,0,26.069
Closure-131,src_com_google_javascript_rhino_TokenStream.json,false,1445,1344,71,71,0,0,15,15,0,0,10.568
Closure-132,src_com_google_javascript_jscomp_PeepholeSubstituteAlternateSyntax.json,false,6612,5425,918,917,1,1,143,143,0,0,118.082
Closure-133,src_com_google_javascript_jscomp_parsing_JsDocInfoParser.json,false,8415,7059,97,97,0,0,6,6,0,0,40.326
Closure-134,src_com_google_javascript_jscomp_AmbiguateProperties.json,false,2530,1970,402,392,11,10,68,67,1,1,86.194
Closure-134,src_com_google_javascript_jscomp_TypedScopeCreator.json,false,5701,4479,67,66,0,1,12,11,0,1,22.662
Closure-135,src_com_google_javascript_jscomp_DevirtualizePrototypeMethods.json,false,1189,915,72,72,0,0,17,17,0,0,8.864
Closure-135,src_com_google_javascript_rhino_jstype_FunctionType.json,false,3070,2294,103,103,0,0,17,17,0,0,21.118
Closure-136,src_com_google_javascript_jscomp_MethodCompilerPass.json,false,874,711,56,55,0,1,12,11,0,1,13.988
Closure-136,src_com_google_javascript_jscomp_RenameVars.json,false,1712,1372,222,222,0,0,44,44,0,0,64.692
Closure-137,src_com_google_javascript_jscomp_MakeDeclaredNamesUnique.json,true,1480,1199,174,154,31,20,40,34,10,6,63.841
Closure-137,src_com_google_javascript_jscomp_NodeUtil.json,true,6386,4973,115,115,0,0,2,2,0,0,30.006
Closure-137,src_com_google_javascript_jscomp_Normalize.json,true,2043,1666,90,90,0,0,14,14,0,0,6.799
Closure-138,src_com_google_javascript_jscomp_ClosureReverseAbstractInterpreter.json,false,989,782,154,154,0,0,23,23,0,0,14.791
Closure-138,src_com_google_javascript_jscomp_TypeInference.json,false,5054,4176,153,137,2,16,24,23,1,1,44.572
Closure-139,src_com_google_javascript_jscomp_Normalize.json,false,2093,1674,157,155,4,2,32,31,1,1,19.173
Closure-14,src_com_google_javascript_jscomp_ControlFlowAnalysis.json,false,3933,3254,333,333,0,0,70,70,0,0,15.395
Closure-140,src_com_google_javascript_jscomp_Compiler.json,false,5833,4737,264,264,0,0,36,36,0,0,39.315
Closure-141,src_com_google_javascript_jscomp_NodeUtil.json,false,6436,5012,201,201,0,0,21,21,0,0,40.959
Closure-141,src_com_google_javascript_jscomp_PureFunctionIdentifier.json,false,2246,1793,110,106,3,4,23,20,2,3,25.657
Closure-142,src_com_google_javascript_jscomp_CoalesceVariableNames.json,false,1882,1493,106,106,0,0,16,16,0,0,6.892
Closure-142,src_com_google_javascript_jscomp_parsing_JsDocInfoParser.json,false,6702,5583,373,373,0,0,66,66,0,0,104.155
Closure-143,src_com_google_javascript_jscomp_AbstractCommandLineRunner.json,false,4473,3545,235,235,0,0,42,42,0,0,111.475
Closure-143,src_com_google_javascript_jscomp_RemoveConstantExpressions.json,false,372,290,65,65,0,0,14,14,0,0,3.176
Closure-144,src_com_google_javascript_jscomp_FunctionTypeBuilder.json,false,2225,1743,204,203,1,1,37,37,0,0,35.265
Closure-144,src_com_google_javascript_jscomp_TypedScopeCreator.json,false,6141,4860,437,435,0,2,61,61,0,0,107.038
Closure-144,src_com_google_javascript_rhino_jstype_FunctionBuilder.json,false,453,373,21,21,0,0,2,2,0,0,1.563
Closure-144,src_com_google_javascript_rhino_jstype_FunctionType.json,false,3108,2459,70,70,0,0,7,7,0,0,13.117
Closure-145,src_com_google_javascript_jscomp_CodeGenerator.json,false,4242,3585,53,53,0,0,6,6,0,0,24.964
Closure-146,src_com_google_javascript_rhino_jstype_JSType.json,false,2750,1645,114,114,0,0,16,16,0,0,15.519
Closure-147,src_com_google_javascript_jscomp_CheckGlobalThis.json,false,593,451,216,214,2,2,37,37,0,0,9.805
Closure-147,src_com_google_javascript_jscomp_RuntimeTypeCheck.json,false,1504,1182,149,149,0,0,30,30,0,0,5.824
Closure-148,src_com_google_javascript_jscomp_PeepholeFoldConstants.json,true,4428,3838,158,158,0,0,39,39,0,0,25.854
Closure-148,src_com_google_javascript_jscomp_SourceMap.json,true,1560,1242,882,557,20,325,152,85,2,67,128.420
Closure-149,src_com_google_javascript_jscomp_AbstractCommandLineRunner.json,true,5148,4075,380,380,1,0,59,59,0,0,23.833
Closure-149,src_com_google_javascript_jscomp_CommandLineRunner.json,true,1961,1625,82,82,0,0,18,18,0,0,9.833
Closure-149,src_com_google_javascript_jscomp_Compiler.json,true,6402,5159,163,162,1,1,14,14,0,0,34.426
Closure-149,src_com_google_javascript_jscomp_CompilerOptions.json,true,2819,2093,195,195,1,0,3,3,0,0,9.020
Closure-15,src_com_google_javascript_jscomp_FlowSensitiveInlineVariables.json,false,1694,1341,117,117,0,0,22,22,0,0,6.543
Closure-150,src_com_google_javascript_jscomp_TypedScopeCreator.json,false,6394,5091,77,77,2,0,14,14,1,0,30.386
Closure-151,src_com_google_javascript_jscomp_CommandLineRunner.json,false,1965,1629,290,290,0,0,41,41,0,0,11.513
Closure-152,src_com_google_javascript_rhino_jstype_FunctionType.json,false,3305,2621,202,197,1,5,26,25,0,1,22.472
Closure-154,src_com_google_javascript_jscomp_TypeCheck.json,false,6757,5549,386,386,0,0,51,51,0,0,97.832
Closure-154,src_com_google_javascript_jscomp_TypeValidator.json,false,3020,2302,131,130,0,1,18,17,0,1,26.321
Closure-155,src_com_google_javascript_jscomp_InlineVariables.json,false,2632,2138,462,461,5,1,77,77,0,0,29.294
Closure-155,src_com_google_javascript_jscomp_ReferenceCollectingCallback.json,false,2016,1614,100,97,0,3,16,15,0,1,10.289
Closure-155,src_com_google_javascript_jscomp_Scope.json,false,1505,1120,32,32,1,0,2,2,0,0,6.265
Closure-156,src_com_google_javascript_jscomp_CollapseProperties.json,false,3280,2521,574,572,7,2,110,110,0,0,55.335
Closure-157,src_com_google_javascript_jscomp_CodeGenerator.json,true,4766,4021,2346,1891,0,455,480,377,0,103,27.038
Closure-157,src_com_google_javascript_jscomp_RenamePrototypes.json,true,1572,1222,272,272,0,0,59,59,0,0,47.427
Closure-157,src_com_google_javascript_jscomp_parsing_IRFactory.json,true,4998,4134,84,64,14,20,15,11,1,4,45.035
Closure-158,src_com_google_javascript_jscomp_AbstractCommandLineRunner.json,true,5659,4474,342,308,8,34,50,44,0,6,27.086
Closure-158,src_com_google_javascript_jscomp_CommandLineRunner.json,true,2377,1971,452,451,3,1,57,57,0,0,29.695
Closure-158,src_com_google_javascript_jscomp_DiagnosticGroups.json,true,561,466,53,50,4,3,9,8,2,1,2.613
Closure-159,src_com_google_javascript_jscomp_InlineFunctions.json,false,4076,3335,102,92,12,10,14,11,4,3,21.185
Closure-16,src_com_google_javascript_jscomp_ScopedAliases.json,false,1923,1596,178,177,0,1,32,32,0,0,22.104
Closure-160,src_com_google_javascript_jscomp_Compiler.json,true,7090,5722,278,276,1,2,34,34,0,0,49.643
Closure-161,src_com_google_javascript_jscomp_PeepholeFoldConstants.json,false,5216,4517,188,188,0,0,37,37,0,0,43.613
Closure-164,src_com_google_javascript_rhino_jstype_ArrowType.json,false,835,722,199,199,0,0,36,36,0,0,34.906
Closure-165,src_com_google_javascript_rhino_jstype_JSTypeRegistry.json,false,6098,4485,165,165,0,0,15,15,0,0,32.539
Closure-165,src_com_google_javascript_rhino_jstype_ObjectType.json,false,1666,1181,54,54,0,0,2,2,0,0,5.973
Closure-165,src_com_google_javascript_rhino_jstype_RecordType.json,false,923,716,307,295,12,12,51,47,4,4,21.900
Closure-165,src_com_google_javascript_rhino_jstype_RecordTypeBuilder.json,false,225,169,32,32,0,0,8,8,0,0,1.262
Closure-166,src_com_google_javascript_rhino_jstype_PrototypeObjectType.json,false,1959,1624,58,58,0,0,11,11,0,0,11.609
Closure-167,src_com_google_javascript_jscomp_type_SemanticReverseAbstractInterpreter.json,false,2276,1906,470,457,14,13,103,103,2,0,18.371
Closure-167,src_com_google_javascript_rhino_jstype_JSType.json,false,3609,2318,112,112,0,0,11,11,0,0,14.484
Closure-168,src_com_google_javascript_jscomp_TypedScopeCreator.json,false,8611,6813,256,256,0,0,42,42,0,0,32.942
Closure-169,src_com_google_javascript_rhino_jstype_ArrowType.json,false,983,862,142,140,2,2,32,32,0,0,13.459
Closure-169,src_com_google_javascript_rhino_jstype_FunctionType.json,false,4375,3508,272,271,5,1,50,50,0,0,37.982
Closure-169,src_com_google_javascript_rhino_jstype_JSType.json,false,4058,2677,427,412,9,15,66,63,2,3,184.335
Closure-169,src_com_google_javascript_rhino_jstype_RecordType.json,false,938,729,397,396,1,1,75,75,0,0,40.143
Closure-169,src_com_google_javascript_rhino_jstype_UnionType.json,false,2092,1561,86,84,2,2,25,25,0,0,12.042
Closure-17,src_com_google_javascript_jscomp_TypedScopeCreator.json,false,8465,6698,295,293,1,2,45,44,1,1,121.110
Closure-170,src_com_google_javascript_jscomp_FlowSensitiveInlineVariables.json,true,1811,1434,109,106,2,3,18,17,0,1,15.040
Closure-171,src_com_google_javascript_jscomp_TypeInference.json,false,6563,5402,274,270,3,4,39,36,2,3,34.330
Closure-171,src_com_google_javascript_jscomp_TypedScopeCreator.json,false,9059,7196,244,244,0,0,34,34,0,0,43.410
Closure-172,src_com_google_javascript_jscomp_TypedScopeCreator.json,false,9076,7211,258,258,0,0,37,37,0,0,46.338
Closure-173,src_com_google_javascript_jscomp_CodeGenerator.json,false,5283,4465,2343,2343,0,0,499,499,0,0,50.093
Closure-173,src_com_google_javascript_jscomp_PeepholeSubstituteAlternateSyntax.json,false,2437,2026,130,130,0,0,33,33,0,0,33.210
Closure-175,src_com_google_javascript_jscomp_FunctionInjector.json,true,2945,2386,228,228,2,0,52,52,1,0,45.689
Closure-18,src_com_google_javascript_jscomp_Compiler.json,false,9034,7286,468,468,0,0,88,88,0,0,74.410
Closure-19,src_com_google_javascript_jscomp_type_ChainableReverseAbstractInterpreter.json,false,2287,1706,112,112,0,0,20,20,0,0,13.640
Closure-2,src_com_google_javascript_jscomp_TypeCheck.json,false,7678,6310,189,189,0,0,25,25,0,0,39.339
Closure-20,src_com_google_javascript_jscomp_PeepholeSubstituteAlternateSyntax.json,false,6582,5400,137,136,1,1,17,17,0,0,35.889
Closure-21,src_com_google_javascript_jscomp_CheckSideEffects.json,false,699,570,173,172,0,1,34,33,0,1,17.163
Closure-22,src_com_google_javascript_jscomp_CheckSideEffects.json,false,704,575,178,162,9,16,34,26,5,8,52.484
Closure-23,src_com_google_javascript_jscomp_PeepholeFoldConstants.json,true,5510,4764,198,197,1,1,42,42,0,0,62.330
Closure-24,src_com_google_javascript_jscomp_ScopedAliases.json,false,1691,1404,131,123,1,8,21,19,1,2,37.389
Closure-25,src_com_google_javascript_jscomp_TypeInference.json,true,5751,4739,146,135,2,11,26,24,0,2,54.502
Closure-26,src_com_google_javascript_jscomp_ProcessCommonJSModules.json,false,1189,931,137,137,0,0,19,19,0,0,4.887
Closure-27,src_com_google_javascript_rhino_IR.json,false,2567,2036,103,103,0,0,18,18,0,0,11.484
Closure-28,src_com_google_javascript_jscomp_InlineCostEstimator.json,false,254,213,18,18,0,0,3,3,0,0,1.111
Closure-29,src_com_google_javascript_jscomp_InlineObjectLiterals.json,false,1738,1369,238,238,0,0,46,46,0,0,67.112
Closure-3,src_com_google_javascript_jscomp_FlowSensitiveInlineVariables.json,false,1794,1426,470,470,1,0,91,91,0,0,38.852
Closure-30,src_com_google_javascript_jscomp_FlowSensitiveInlineVariables.json,false,1684,1331,41,40,1,1,7,7,0,0,6.195
Closure-30,src_com_google_javascript_jscomp_MustBeReachingVariableDef.json,false,1685,1328,152,152,0,0,32,32,0,0,12.050
Closure-31,src_com_google_javascript_jscomp_Compiler.json,false,8840,7126,553,553,0,0,107,107,0,0,78.735
Closure-32,src_com_google_javascript_jscomp_parsing_JsDocInfoParser.json,false,8000,6703,401,399,1,2,66,65,1,1,272.125
Closure-33,src_com_google_javascript_rhino_jstype_PrototypeObjectType.json,false,1935,1603,98,98,0,0,17,17,0,0,7.443
Closure-34,src_com_google_javascript_jscomp_CodeGenerator.json,true,5003,4220,2404,2397,6,7,509,508,1,1,121.190
Closure-34,src_com_google_javascript_jscomp_CodePrinter.json,true,2147,1792,66,65,1,1,16,16,0,0,11.586
Closure-35,src_com_google_javascript_jscomp_TypeInference.json,true,5834,4812,68,67,3,1,12,12,1,0,33.249
Closure-36,src_com_google_javascript_jscomp_InlineVariables.json,false,2758,2239,222,222,0,0,33,33,0,0,16.808
Closure-37,src_com_google_javascript_jscomp_NodeTraversal.json,false,2481,1915,182,181,1,1,24,24,0,0,30.332
Closure-37,src_com_google_javascript_jscomp_parsing_IRFactory.json,false,5248,4308,270,270,0,0,44,44,0,0,29.815
Closure-38,src_com_google_javascript_jscomp_CodeConsumer.json,false,806,694,159,159,0,0,28,28,0,0,3.545
Closure-39,src_com_google_javascript_rhino_jstype_PrototypeObjectType.json,false,1835,1518,180,179,1,1,36,36,0,0,58.960
Closure-4,src_com_google_javascript_rhino_jstype_NamedType.json,false,1292,1055,107,107,0,0,24,24,0,0,4.146
Closure-40,src_com_google_javascript_jscomp_NameAnalyzer.json,false,6586,5138,294,293,0,1,48,48,0,0,45.835
Closure-41,src_com_google_javascript_jscomp_FunctionTypeBuilder.json,false,3132,2521,531,531,0,0,92,92,0,0,39.424
Closure-42,src_com_google_javascript_jscomp_parsing_IRFactory.json,false,5214,4280,61,61,0,0,7,7,0,0,30.052
Closure-43,src_com_google_javascript_jscomp_TypedScopeCreator.json,false,8158,6448,326,326,0,0,69,69,0,0,67.456
Closure-44,src_com_google_javascript_jscomp_CodeConsumer.json,false,783,672,77,76,0,1,14,13,0,1,5.342
Closure-45,src_com_google_javascript_jscomp_RemoveUnusedVars.json,true,3535,2785,296,295,2,1,49,49,0,0,64.929
